Team,PlayerName,Position,NumberOfgoal,isOnPitch,isYellowCard,isRedCard,distance
Southampton,Alex McCarthy,GK,0,1,0,0,0.09,90
Southampton,Kyle Walker-Peters,DF,1,1,1,0,4.38,90
Southampton,Jack Stephens,DF,0,1,0,0,5.09,90
Southampton,Jannik Vestergaard,DF,0,1,0,0,1.48,90
Southampton,Ryan Bertrand,DF,0,1,1,0,2.23,90
Southampton,Oriol Romeu,MF,0,1,0,0,7.61,90
Southampton,Stuart Armstrong,MF,0,1,0,0,8.82,90
Southampton,James Ward-Prowse,MF,0,1,0,0,7.38,90
Southampton,Ché Adams,FW,0,1,1,0,6.67,90
Southampton,Nathan Redmond,MF,0,0,0,0,0,0
Southampton,Danny Ings,FW,0,1,1,0,4.43,90
Southampton,Fraser Forster,GK,0,0,0,0,0,0
Southampton,Mohammed Salisu,DF,0,0,0,0,0,0
Southampton,Theo Walcott,MF,0,0,0,0,0,0
Southampton,Ibrahima Diallo,MF,0,0,0,0,0,0
Southampton,Michael Obafemi,FW,0,1,1,0,1.41,90
Southampton,Will Smallbone,MF,0,0,0,0,0,0
Southampton,Shane Long,FW,0,0,0,0,0,0
Southampton,Jan Bednarek,DF,0,0,0,0,0,0
Southampton,Armando Broja,FW,0,0,0,0,0,0
Southampton,Harry Lewis,GK,0,0,0,0,0,0
Southampton,William Ferry,MF,0,0,0,0,0,0
Southampton,Allan Tchaptchet,DF,0,0,0,0,0,0
Everton,Jordan Pickford,GK,0,1,1,0,0.64,90
Everton,Mason Holgate,DF,1,1,1,0,5.7,90
Everton,Yerry Mina,DF,1,1,0,0,3.37,90
Everton,Michael Keane,DF,0,1,0,0,3.32,90
Everton,Ben Godfrey,DF,1,1,0,0,1.12,90
Everton,Allan,MF,0,1,1,0,7.14,90
Everton,André Gomes,MF,0,1,1,0,9.25,90
Everton,Fabian Delph,MF,0,1,1,0,8.33,90
Everton,Dominic Calvert-Lewin,FW,0,1,1,0,6.39,90
Everton,Gylfi Sigurðsson,MF,0,0,0,0,0,0
Everton,James Rodríguez,MF,0,0,0,0,0,0
Everton,Alex Iwobi,MF,0,0,0,0,0,0
Everton,Asmir Begović,GK,0,0,0,0,0,0
Everton,Abdoulaye Doucouré,MF,0,0,0,0,0,0
Everton,Moise Kean,FW,0,1,0,0,5.48,90
Everton,Andros Townsend,MF,0,0,0,0,0,0
Everton,Alexander-Arnold,DF,0,0,0,0,0,0
Everton,Anthony Gordon,MF,0,0,0,0,0,0
Everton,Jonjoe Kenny,DF,0,0,0,0,0,0
Everton,Denis Adeniran,MF,0,0,0,0,0,0
Everton,André Gomes,MF,0,0,0,0,0,0
Everton,Andy Lonergan,GK,0,0,0,0,0,0
Everton,Harry Tyrer,GK,0,0,0,0,0,0
Brighton,Robert Sanchez,GK,0,1,1,0,0.84,90
Brighton,Tariq Lamptey,DF,0,1,0,0,6.29,90
Brighton,Ben White,DF,1,1,0,0,4.25,90
Brighton,Adam Webster,DF,0,1,1,0,1.55,90
Brighton,Lewis Dunk,DF,1,1,0,0,3.61,90
Brighton,Dale Stephens,MF,0,1,0,0,9.52,90
Brighton,Neal Maupay,FW,0,1,1,0,2.82,90
Brighton,Yves Bissouma,MF,0,1,0,0,7.81,90
Brighton,Aaron Connolly,FW,1,1,1,0,6.99,90
Brighton,Leandro Trossard,MF,0,1,1,0,7.62,90
Brighton,Pascal Groß,MF,0,0,0,0,0,0
Brighton,Florin Andone,FW,0,1,1,0,4.97,90
Brighton,Danny Welbeck,FW,0,0,0,0,0,0
Brighton,Jason Steele,GK,0,0,0,0,0,0
Brighton,Joël Veltman,DF,0,0,0,0,0,0
Brighton,Steven Alzate,MF,0,0,0,0,0,0
Brighton,Alexis Mac Allister,MF,0,0,0,0,0,0
Brighton,Jakub Moder,MF,0,0,0,0,0,0
Brighton,Enock Mwepu,MF,0,0,0,0,0,0
Brighton,Andi Zeqiri,FW,0,0,0,0,0,0
Brighton,Christian Walton,GK,0,0,0,0,0,0
Brighton,Reda Khadra,MF,0,0,0,0,0,0
Brighton,Max Sanders,MF,0,0,0,0,0,0
Crystal Palace,Vicente Guaita,GK,0,1,1,0,0.09,90
Crystal Palace,Joachim Andersen,DF,0,1,0,0,3.19,90
Crystal Palace,Tyrick Mitchell,DF,0,1,1,0,4.3,90
Crystal Palace,Patrick van Aanholt,DF,0,1,1,0,5.61,90
Crystal Palace,James Tomkins,DF,0,1,0,0,3.67,90
Crystal Palace,Scott Dann,DF,0,0,0,0,0,0
Crystal Palace,Michael Olise,MF,0,1,1,0,8.16,90
Crystal Palace,Cheikhou Kouyaté,MF,0,1,1,0,8.6,90
Crystal Palace,Christian Benteke,FW,0,1,0,0,3.57,90
Crystal Palace,Wilfried Zaha,MF,0,1,1,0,8.6,90
Crystal Palace,Jeffrey Schlupp,MF,0,0,0,0,0,0
Crystal Palace,Jack Butland,GK,0,0,0,0,0,0
Crystal Palace,Connor Wickham,FW,0,1,1,0,3.07,90
Crystal Palace,Andros Townsend,MF,0,0,0,0,0,0
Crystal Palace,Luka Milivojević,MF,0,0,0,0,0,0
Crystal Palace,James McArthur,MF,0,0,0,0,0,0
Crystal Palace,Jordan Ayew,FW,0,1,1,0,4.21,90
Crystal Palace,Nathaniel Clyne,DF,0,0,0,0,0,0
Crystal Palace,Martin Kelly,DF,0,0,0,0,0,0
Crystal Palace,Joel Ward,DF,0,0,0,0,0,0
Crystal Palace,Wayne Hennessey,GK,0,0,0,0,0,0
Crystal Palace,Odsonne Édouard,FW,0,0,0,0,0,0
Crystal Palace,Will Hughes,MF,0,0,0,0,0,0
Burnley,Nick Pope,GK,0,1,1,0,0.24,90
Burnley,Matthew Lowton,DF,0,1,0,0,1.48,90
