Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Southampton,Everton,1,3,3,2,0
2023-12-15,Brighton,Crystal Palace,3,0,0,2,0
2023-12-15,Burnley,Leicester City,1,1,3,5,2
2023-12-15,Tottenham,Arsenal,1,5,0,5,1
2023-12-15,Wolves,Leeds United,0,0,5,5,2
2023-12-15,Brentford,Watford,5,1,3,2,1
2023-12-15,Aston Villa,West Ham,5,5,2,3,0
2023-12-15,Norwich City,Manchester City,1,4,3,2,2
2023-12-15,Liverpool,Manchester United,5,4,1,4,2
2023-12-15,Newcastle United,Chelsea,4,2,3,4,2
